ACCOUNT,SERVICE,VISIT
505627,SVG,2
505627,CD,3
505627,CD,4
505646,SVG,1
505646,SVG,2
505656,CKING,1
505656,SVG,2
505656,ATM,3
505656,ATM,4
505677,CKING,1
505677,ATM,2
505677,ATM,3
505680,CKING,1
505680,HMEQLC,2
505680,HMEQLC,3
505868,CKING,1
505868,ATM,2
505868,ATM,3
505981,CKING,1
505981,HMEQLC,2
505981,HMEQLC,3
506050,CKING,1
506050,CKING,2
506171,CKING,1
506171,MMDA,2
506171,CD,3
506171,TRUST,4
506171,TRUST,5
506302,CKING,1
506302,SVG,2
506302,SVG,3
506364,CKING,1
506364,SVG,2
506364,CCRD,3
506364,CKCRD,4
506364,CKCRD,5
506697,CKING,1
506697,CKING,2
506699,CKING,1
506699,SVG,2
506699,AUTO,3
506699,AUTO,4
506708,CKING,1
506708,HMEQLC,2
506708,MTG,3
506708,CKCRD,4
506708,CKCRD,5
506765,CKING,1
506765,CKING,2
506816,CKING,1
506816,SVG,2
506816,SVG,3
506861,SVG,1
506861,SVG,2
506942,CKING,1
506942,ATM,2
506942,HMEQLC,3
506942,HMEQLC,4
506945,SVG,1
506945,ATM,2
506945,ATM,3
506947,CD,1
506947,CD,2
507002,CKING,1
507002,SVG,2
507002,ATM,3
507002,ATM,4
507084,CKING,1
507084,MMDA,2
507084,SVG,3
507084,CD,4
507084,ATM,5
507084,AUTO,6
507084,AUTO,7
507206,CKING,1
507206,SVG,2
507206,ATM,3
507206,HMEQLC,4
507206,AUTO,5
507206,AUTO,6
507257,CKING,1
507257,CD,2
507257,CCRD,3
507257,CCRD,4
507382,CKING,1
507382,MMDA,2
507382,ATM,3
507382,HMEQLC,4
507382,HMEQLC,5
507429,CKING,1
507429,MMDA,2
507429,MMDA,3
507510,CKING,1
507510,MMDA,2
507510,HMEQLC,3
507510,AUTO,4
507510,AUTO,5
507551,CKING,1
507551,SVG,2
507551,SVG,3
507651,SVG,1
507651,SVG,2
507772,CKING,1
507772,MMDA,2
507772,SVG,3
507772,CD,4
507772,CCRD,5
507772,HMEQLC,6
507772,MTG,7
507772,MTG,8
507835,CKING,1
507835,MMDA,2
507835,SVG,3
507835,CCRD,4
507835,HMEQLC,5
507835,TRUST,6
507835,TRUST,7
507994,SVG,1
507994,SVG,2
507998,CKING,1
507998,SVG,2
507998,CD,3
507998,HMEQLC,4
507998,CKCRD,5
507998,CKCRD,6
508028,CKING,1
508028,SVG,2
508028,CD,3
508028,PLOAN,4
508028,AUTO,5
508028,AUTO,6
508201,CKING,1
508201,SVG,2
508201,SVG,3
508250,CKING,1
508250,CKING,2
508307,SVG,1
508307,ATM,2
508307,ATM,3
508331,CKING,1
508331,SVG,2
508331,ATM,3
508331,MTG,4
508331,MTG,5
508431,CKING,1
508431,CKING,2
508521,CKING,1
508521,SVG,2
508521,IRA,3
508521,CCRD,4
508521,CKCRD,5
508521,CKCRD,6
508588,CKING,1
508588,ATM,2
508588,ATM,3
508668,SVG,1
508668,SVG,2
508794,CKING,1
508794,CCRD,2
508794,CCRD,3
508902,CKING,1
508902,MMDA,2
508902,SVG,3
508902,CD,4
508902,CCRD,5
508902,MTG,6
508902,CKCRD,7
508902,CKCRD,8
508974,CKING,1
508974,CKING,2
509037,CKING,1
509037,SVG,2
509037,SVG,3
509106,CKING,1
509106,SVG,2
509106,ATM,3
509106,ATM,4
509262,CKING,1
509262,MMDA,2
509262,SVG,3
509262,MTG,4
509262,MTG,5
509371,CKING,1
509371,SVG,2
509371,ATM,3
509371,HMEQLC,4
509371,MTG,5
509371,MTG,6
509415,CKING,1
509415,SVG,2
509415,ATM,3
509415,MTG,4
509415,MTG,5
509513,SVG,1
509513,SVG,2
509517,CKING,1
509517,SVG,2
509517,SVG,3
509547,CKING,1
509547,SVG,2
509547,SVG,3
509562,CKING,1
509562,CD,2
509562,CD,3
509573,IRA,1
509573,IRA,2
509660,CKING,1
509660,SVG,2
509660,CCRD,3
509660,CCRD,4
509725,CKING,1
509725,SVG,2
509725,IRA,3
509725,CCRD,4
509725,CCRD,5
509769,CKING,1
509769,CKING,2
509913,CKING,1
509913,SVG,2
509913,AUTO,3
509913,AUTO,4
509981,CKING,1
509981,MMDA,2
509981,ATM,3
509981,ATM,4
510175,CKING,1
510175,MMDA,2
510175,SVG,3
510175,CD,4
510175,IRA,5
510175,CCRD,6
510175,HMEQLC,7
510175,TRUST,8
510175,CKCRD,9
510175,CKCRD,10
510186,CKING,1
510186,SVG,2
510186,CD,3
510186,IRA,4
510186,MTG,5
510186,MTG,6
510244,CKING,1
510244,SVG,2
510244,SVG,3
510294,CKING,1
510294,SVG,2
510294,ATM,3
510294,ATM,4
510312,CKING,1
510312,SVG,2
510312,CD,3
510312,IRA,4
510312,ATM,5
510312,CCRD,6
510312,CCRD,7
510328,CKING,1
510328,CKING,2
510352,SVG,1
510352,ATM,2
510352,AUTO,3
510352,AUTO,4
510446,CKING,1
510446,SVG,2
510446,SVG,3
510514,CKING,1
510514,SVG,2
510514,ATM,3
510514,AUTO,4
510514,AUTO,5
510544,CKING,1
510544,SVG,2
510544,CD,3
510544,ATM,4
510544,ATM,5
510587,CKING,1
510587,SVG,2
510587,CD,3
510587,CD,4
510689,CKING,1
510689,ATM,2
510689,ATM,3
510722,CKING,1
510722,SVG,2
510722,CD,3
510722,HMEQLC,4
510722,HMEQLC,5
510812,CKING,1
510812,CD,2
510812,CD,3
510819,CKING,1
510819,SVG,2
510819,ATM,3
510819,ATM,4
510824,SVG,1
510824,SVG,2
510875,CKING,1
510875,SVG,2
510875,CD,3
510875,CD,4
510897,CKING,1
510897,MMDA,2
510897,MMDA,3
510944,CKING,1
510944,CKING,2
511028,CKING,1
511028,CKING,2
511069,CKING,1
511069,MMDA,2
511069,SVG,3
511069,CD,4
511069,CD,5
511086,CKING,1
511086,SVG,2
511086,CCRD,3
511086,MTG,4
511086,CKCRD,5
511086,CKCRD,6
511123,CKING,1
511123,CD,2
511123,CCRD,3
511123,CCRD,4
511127,CKING,1
511127,CKING,2
511153,CKING,1
511153,MMDA,2
511153,SVG,3
511153,CKCRD,4
511153,CKCRD,5
511208,CKING,1
511208,MMDA,2
511208,TRUST,3
511208,TRUST,4
511265,CKING,1
511265,SVG,2
511265,CD,3
511265,ATM,4
511265,ATM,5
511354,CKING,1
511354,SVG,2
511354,ATM,3
511354,HMEQLC,4
511354,MTG,5
511354,MTG,6
511443,CKING,1
511443,CKING,2
511478,CKING,1
511478,SVG,2
511478,IRA,3
511478,IRA,4
511527,CKING,1
511527,MMDA,2
511527,SVG,3
511527,ATM,4
511527,ATM,5
511561,CKING,1
511561,MMDA,2
511561,CD,3
511561,CCRD,4
511561,AUTO,5
511561,AUTO,6
511603,CKING,1
511603,ATM,2
511603,MTG,3
511603,MTG,4
511628,CKING,1
511628,ATM,2
511628,ATM,3
511814,SVG,1
511814,SVG,2
511839,CKING,1
511839,SVG,2
511839,ATM,3
511839,ATM,4
511906,CKING,1
511906,SVG,2
511906,ATM,3
511906,HMEQLC,4
511906,MTG,5
511906,MTG,6
512091,CKING,1
512091,SVG,2
512091,SVG,3
512097,CKING,1
512097,SVG,2
512097,SVG,3
512327,CKING,1
512327,MMDA,2
512327,IRA,3
512327,TRUST,4
512327,TRUST,5
512367,CKING,1
512367,SVG,2
512367,ATM,3
512367,ATM,4
512394,CKING,1
512394,SVG,2
512394,CD,3
512394,CD,4
512449,CKING,1
512449,CD,2
512449,CD,3
512510,CKING,1
512510,SVG,2
512510,ATM,3
512510,PLOAN,4
512510,AUTO,5
512510,AUTO,6
512540,CKING,1
512540,SVG,2
512540,ATM,3
512540,ATM,4
512681,CKING,1
512681,CKING,2
512702,CKING,1
512702,ATM,2
512702,HMEQLC,3
512702,AUTO,4
512702,AUTO,5
512703,CKING,1
512703,SVG,2
512703,HMEQLC,3
512703,MTG,4
512703,CKCRD,5
512703,CKCRD,6
512730,CKING,1
512730,SVG,2
512730,HMEQLC,3
512730,CKCRD,4
512730,CKCRD,5
512731,CKING,1
512731,SVG,2
512731,CD,3
512731,CCRD,4
512731,CCRD,5
512755,CKING,1
512755,CKING,2
512773,CKING,1
512773,MMDA,2
512773,SVG,3
512773,SVG,4
512777,CKING,1
512777,MMDA,2
512777,SVG,3
512777,TRUST,4
512777,TRUST,5
512813,CKING,1
512813,SVG,2
512813,ATM,3
512813,ATM,4
512900,MMDA,1
512900,CD,2
512900,CD,3
512932,CKING,1
512932,SVG,2
512932,ATM,3
512932,ATM,4
512933,CKING,1
512933,SVG,2
512933,IRA,3
512933,CCRD,4
512933,CCRD,5
512948,CKING,1
512948,ATM,2
512948,ATM,3
512978,CKING,1
512978,SVG,2
512978,ATM,3
512978,ATM,4
513052,CKING,1
513052,SVG,2
513052,CCRD,3
513052,AUTO,4
513052,AUTO,5
513168,CKING,1
513168,SVG,2
513168,ATM,3
513168,AUTO,4
513168,AUTO,5
513197,CKING,1
513197,SVG,2
513197,CD,3
513197,MTG,4
513197,MTG,5
513307,CKING,1
513307,HMEQLC,2
513307,HMEQLC,3
513394,CKING,1
513394,CKING,2
513414,CKING,1
513414,MMDA,2
513414,SVG,3
513414,ATM,4
513414,HMEQLC,5
513414,HMEQLC,6
513421,CKING,1
513421,SVG,2
513421,ATM,3
513421,CCRD,4
513421,MTG,5
513421,AUTO,6
513421,AUTO,7
513479,CKING,1
513479,MMDA,2
513479,MMDA,3
513660,CKING,1
513660,SVG,2
513660,ATM,3
513660,ATM,4
513685,CKING,1
513685,SVG,2
513685,SVG,3
513708,CKING,1
513708,MMDA,2
513708,CD,3
513708,ATM,4
513708,ATM,5
513822,CKING,1
513822,SVG,2
513822,HMEQLC,3
513822,PLOAN,4
513822,AUTO,5
513822,AUTO,6
513862,CKING,1
513862,SVG,2
513862,ATM,3
513862,ATM,4
513972,CKING,1
513972,SVG,2
513972,CD,3
513972,IRA,4
513972,ATM,5
513972,ATM,6
513983,CKING,1
513983,SVG,2
513983,IRA,3
513983,ATM,4
513983,HMEQLC,5
513983,HMEQLC,6
514019,CKING,1
514019,SVG,2
514019,ATM,3
514019,MTG,4
514019,MTG,5
514122,CKING,1
514122,SVG,2
514122,CCRD,3
514122,AUTO,4
514122,CKCRD,5
514122,CKCRD,6
514126,CKING,1
514126,MMDA,2
514126,ATM,3
514126,ATM,4
514153,CKING,1
514153,SVG,2
514153,CD,3
514153,HMEQLC,4
514153,TRUST,5
514153,TRUST,6
514172,CKING,1
514172,ATM,2
514172,ATM,3
514472,CKING,1
514472,ATM,2
514472,ATM,3
514522,CKING,1
514522,SVG,2
514522,HMEQLC,3
514522,HMEQLC,4
514526,CKING,1
514526,SVG,2
514526,ATM,3
514526,ATM,4
514687,CKING,1
514687,SVG,2
514687,SVG,3
514699,CKING,1
514699,SVG,2
514699,CD,3
514699,IRA,4
514699,ATM,5
514699,ATM,6
514770,CKING,1
514770,SVG,2
514770,CD,3
514770,TRUST,4
514770,TRUST,5
514813,CKING,1
514813,SVG,2
514813,ATM,3
514813,CCRD,4
514813,MTG,5
514813,MTG,6
514825,CKING,1
514825,SVG,2
514825,HMEQLC,3
514825,MTG,4
514825,CKCRD,5
514825,CKCRD,6
514907,CKING,1
514907,SVG,2
514907,CD,3
514907,CKCRD,4
514907,CKCRD,5
515025,AUTO,1
515025,AUTO,2
515030,CKING,1
515030,SVG,2
515030,SVG,3
515055,CKING,1
515055,SVG,2
515055,ATM,3
515055,ATM,4
515075,CKING,1
515075,AUTO,2
515075,CKCRD,3
515075,CKCRD,4
515171,CKING,1
515171,ATM,2
515171,HMEQLC,3
515171,MTG,4
515171,AUTO,5
515171,AUTO,6
515279,CKING,1
515279,MTG,2
515279,CKCRD,3
515279,CKCRD,4
515287,CKING,1
515287,SVG,2
515287,SVG,3
515302,CKING,1
515302,CCRD,2
515302,CCRD,3
515326,SVG,1
515326,SVG,2
515350,SVG,1
515350,SVG,2
515365,CKING,1
515365,SVG,2
515365,SVG,3
515402,CKING,1
515402,CCRD,2
515402,HMEQLC,3
515402,CKCRD,4
515402,CKCRD,5
515470,CKING,1
515470,SVG,2
515470,SVG,3
515474,CKING,1
515474,SVG,2
515474,SVG,3
515511,CKING,1
515511,CKING,2
515582,CKING,1
515582,SVG,2
515582,ATM,3
515582,ATM,4
515605,SVG,1
515605,SVG,2
515612,CKING,1
515612,SVG,2
515612,CCRD,3
515612,HMEQLC,4
515612,AUTO,5
515612,CKCRD,6
515612,CKCRD,7
515625,CKING,1
515625,HMEQLC,2
515625,HMEQLC,3
515631,CKING,1
515631,SVG,2
515631,ATM,3
515631,HMEQLC,4
515631,MTG,5
515631,MTG,6
515711,CKING,1
515711,CKING,2
515721,CD,1
515721,CD,2
515741,CKING,1
515741,SVG,2
515741,ATM,3
515741,ATM,4
515814,CKING,1
515814,SVG,2
515814,ATM,3
515814,AUTO,4
515814,AUTO,5
515832,CKING,1
515832,SVG,2
515832,CD,3
515832,ATM,4
515832,ATM,5
515848,CKING,1
515848,SVG,2
515848,SVG,3
515988,CKING,1
515988,ATM,2
515988,ATM,3
516032,SVG,1
516032,SVG,2
516052,CKING,1
516052,MTG,2
516052,MTG,3
516156,CKING,1
516156,ATM,2
516156,ATM,3
516187,CKING,1
516187,MMDA,2
516187,SVG,3
516187,CD,4
516187,CD,5
516190,CKING,1
516190,ATM,2
516190,ATM,3
516343,CKING,1
516343,ATM,2
516343,ATM,3
516384,CKING,1
516384,CD,2
516384,CD,3
516455,CKING,1
516455,MMDA,2
516455,IRA,3
516455,IRA,4
516611,CKING,1
516611,CKING,2
516631,CKING,1
516631,CKING,2
516641,CKING,1
516641,MMDA,2
516641,SVG,3
516641,SVG,4
516644,CKING,1
516644,MMDA,2
516644,ATM,3
516644,ATM,4
516803,CKING,1
516803,ATM,2
516803,ATM,3
516918,SVG,1
516918,SVG,2
516924,CKING,1
516924,SVG,2
516924,SVG,3
517096,CKING,1
517096,SVG,2
517096,SVG,3
517206,CKING,1
517206,SVG,2
517206,IRA,3
517206,ATM,4
517206,ATM,5
517219,CKING,1
517219,CD,2
517219,IRA,3
517219,CKCRD,4
517219,CKCRD,5
517341,SVG,1
517341,SVG,2
517367,CD,1
517367,CD,2
517433,CKING,1
517433,SVG,2
517433,HMEQLC,3
517433,HMEQLC,4
517577,CKING,1
517577,SVG,2
517577,SVG,3
517684,SVG,1
517684,SVG,2
517687,IRA,1
517687,IRA,2
517689,CKING,1
517689,CKCRD,2
517689,CKCRD,3
517750,CKING,1
517750,SVG,2
517750,SVG,3
517757,CKING,1
517757,SVG,2
517757,SVG,3
517780,CKING,1
517780,MMDA,2
517780,CCRD,3
517780,MTG,4
517780,MTG,5
517877,CKING,1
517877,SVG,2
517877,CD,3
517877,IRA,4
517877,ATM,5
517877,CCRD,6
517877,CCRD,7
518130,CKING,1
518130,ATM,2
518130,ATM,3
518233,CKING,1
518233,SVG,2
518233,ATM,3
518233,MTG,4
518233,MTG,5
518271,CKING,1
518271,MMDA,2
518271,SVG,3
518271,CD,4
518271,CD,5
518286,CKING,1
518286,CKING,2
518298,SVG,1
518298,SVG,2
518394,CKING,1
518394,CD,2
518394,CD,3
518408,CKING,1
518408,CD,2
518408,CD,3
518424,CKING,1
518424,MMDA,2
518424,CKCRD,3
518424,CKCRD,4
518466,CKING,1
518466,SVG,2
518466,CD,3
518466,MTG,4
518466,MTG,5
518522,CKING,1
518522,AUTO,2
518522,AUTO,3
518714,CKING,1
518714,SVG,2
518714,CD,3
518714,HMEQLC,4
518714,CKCRD,5
518714,CKCRD,6
518720,CKING,1
518720,SVG,2
518720,CD,3
518720,ATM,4
518720,ATM,5
518795,CKING,1
518795,MMDA,2
518795,CD,3
518795,CCRD,4
518795,CCRD,5
518913,CKING,1
518913,SVG,2
518913,CD,3
518913,AUTO,4
518913,AUTO,5
518917,CKING,1
518917,MMDA,2
518917,ATM,3
518917,ATM,4
518920,CKING,1
518920,CKING,2
519067,CKING,1
519067,CD,2
519067,IRA,3
519067,ATM,4
519067,ATM,5
519195,CKING,1
519195,SVG,2
519195,CD,3
519195,CCRD,4
519195,HMEQLC,5
519195,CKCRD,6
519195,CKCRD,7
519246,CKING,1
519246,CD,2
519246,CD,3
519258,CKING,1
519258,SVG,2
519258,IRA,3
519258,ATM,4
519258,MTG,5
519258,MTG,6
519319,CKING,1
519319,MMDA,2
519319,SVG,3
519319,CCRD,4
519319,HMEQLC,5
519319,CKCRD,6
519319,CKCRD,7
519357,CKING,1
519357,SVG,2
519357,ATM,3
519357,ATM,4
519466,CKING,1
519466,SVG,2
519466,ATM,3
519466,MTG,4
519466,MTG,5
519468,CKING,1
519468,SVG,2
519468,HMEQLC,3
519468,CKCRD,4
519468,CKCRD,5
519473,CKING,1
519473,HMEQLC,2
519473,AUTO,3
519473,AUTO,4
519554,CKING,1
519554,SVG,2
519554,ATM,3
519554,ATM,4
519592,MMDA,1
519592,CD,2
519592,CD,3
519643,ATM,1
519643,CCRD,2
519643,CCRD,3
519696,CKING,1
519696,SVG,2
519696,CD,3
519696,IRA,4
519696,ATM,5
519696,CCRD,6
519696,HMEQLC,7
519696,HMEQLC,8
519805,CKING,1
519805,MMDA,2
519805,SVG,3
519805,CD,4
519805,IRA,5
519805,ATM,6
519805,ATM,7
519843,CKING,1
519843,SVG,2
519843,IRA,3
519843,ATM,4
519843,ATM,5
519927,CKING,1
519927,MMDA,2
519927,SVG,3
519927,ATM,4
519927,ATM,5
520041,CKING,1
520041,HMEQLC,2
520041,HMEQLC,3
520130,CKING,1
520130,CKING,2
520146,CKING,1
520146,SVG,2
520146,CKCRD,3
520146,CKCRD,4
520167,CKING,1
520167,MMDA,2
520167,SVG,3
520167,ATM,4
520167,ATM,5
520227,CKING,1
520227,ATM,2
520227,ATM,3
520299,CKING,1
520299,MMDA,2
520299,SVG,3
520299,ATM,4
520299,HMEQLC,5
520299,HMEQLC,6
520351,SVG,1
520351,CD,2
520351,CD,3
520468,SVG,1
520468,SVG,2
520559,SVG,1
520559,SVG,2
520577,CKING,1
520577,CD,2
520577,CD,3
520672,CKING,1
520672,SVG,2
520672,SVG,3
520689,CKING,1
520689,MMDA,2
520689,SVG,3
520689,CD,4
520689,AUTO,5
520689,AUTO,6
520742,CKING,1
520742,CD,2
520742,CD,3
520771,CKING,1
520771,SVG,2
520771,IRA,3
520771,CCRD,4
520771,CCRD,5
520795,CKING,1
520795,SVG,2
520795,CD,3
520795,IRA,4
520795,ATM,5
520795,TRUST,6
520795,TRUST,7
521186,CKING,1
521186,SVG,2
521186,ATM,3
521186,HMEQLC,4
521186,MTG,5
521186,MTG,6
521199,CKING,1
521199,SVG,2
521199,CCRD,3
521199,CCRD,4
521241,CKING,1
521241,SVG,2
521241,CD,3
521241,ATM,4
521241,HMEQLC,5
521241,MTG,6
521241,TRUST,7
521241,PLOAN,8
521241,PLOAN,9
521445,CKING,1
521445,SVG,2
521445,CKCRD,3
521445,CKCRD,4
521502,SVG,1
521502,SVG,2
521539,SVG,1
521539,CD,2
521539,ATM,3
521539,ATM,4
521622,CKING,1
521622,SVG,2
521622,SVG,3
521687,IRA,1
521687,IRA,2
521852,CKING,1
521852,ATM,2
521852,ATM,3
521891,CKING,1
521891,MMDA,2
521891,CD,3
521891,CCRD,4
521891,CCRD,5
521896,CKING,1
521896,SVG,2
521896,CCRD,3
521896,HMEQLC,4
521896,CKCRD,5
521896,CKCRD,6
521898,CKING,1
521898,SVG,2
521898,CKCRD,3
521898,CKCRD,4
521902,CKING,1
521902,SVG,2
521902,CD,3
521902,ATM,4
521902,ATM,5
521903,CKING,1
521903,MMDA,2
521903,CD,3
521903,CKCRD,4
521903,CKCRD,5
521921,CKING,1
521921,HMEQLC,2
521921,HMEQLC,3
522014,CKING,1
522014,SVG,2
522014,CD,3
522014,HMEQLC,4
522014,CKCRD,5
522014,CKCRD,6
522232,CKING,1
522232,MMDA,2
522232,SVG,3
522232,SVG,4
522314,SVG,1
522314,SVG,2
522431,CKING,1
522431,MMDA,2
522431,CCRD,3
522431,TRUST,4
522431,TRUST,5
522432,CKING,1
522432,SVG,2
522432,ATM,3
522432,ATM,4
522590,CKING,1
522590,SVG,2
522590,HMEQLC,3
522590,HMEQLC,4
522784,CKING,1
522784,ATM,2
522784,ATM,3
522941,CKING,1
522941,HMEQLC,2
522941,HMEQLC,3
522989,CKING,1
522989,SVG,2
522989,ATM,3
522989,CCRD,4
522989,HMEQLC,5
522989,HMEQLC,6
523004,CKING,1
523004,CKING,2
523009,SVG,1
523009,CD,2
523009,CD,3
523011,CKING,1
523011,MMDA,2
523011,SVG,3
523011,CD,4
523011,ATM,5
523011,ATM,6
523031,CKING,1
523031,CKING,2
523088,CKING,1
523088,CKING,2
523097,IRA,1
523097,IRA,2
523161,CKING,1
523161,SVG,2
523161,CD,3
523161,CD,4
523204,CKING,1
523204,SVG,2
523204,CD,3
523204,HMEQLC,4
523204,HMEQLC,5
523292,CKING,1
523292,SVG,2
523292,ATM,3
523292,AUTO,4
523292,AUTO,5
523367,CKING,1
523367,SVG,2
523367,SVG,3
523387,CKING,1
523387,SVG,2
523387,IRA,3
523387,ATM,4
523387,ATM,5
523389,CKING,1
523389,ATM,2
523389,CCRD,3
523389,HMEQLC,4
523389,HMEQLC,5
523404,CKING,1
523404,SVG,2
523404,SVG,3
523434,CKING,1
523434,MMDA,2
523434,ATM,3
523434,ATM,4
523450,ATM,1
523450,ATM,2
523493,CKING,1
523493,SVG,2
523493,ATM,3
523493,HMEQLC,4
523493,HMEQLC,5
523546,CKING,1
523546,CKING,2
523640,CKING,1
523640,ATM,2
523640,MTG,3
523640,MTG,4
523671,CKING,1
523671,SVG,2
523671,CD,3
523671,ATM,4
523671,ATM,5
