TargetB,ID,TargetD,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCat96NK,StatusCatStarAll,DemCluster,DemAge,DemGender,DemHomeOwner,DemMedHomeValue,DemPctVeterans,DemMedIncome
0,00035996,,7,15,3,8,5,5.29,5.67,5.67,17,93,12,30,58,6,15,22,S,1,39,,M,H,104400,35,54385
0,00176929,,4,5,1,1,10,41.5,35.2,50,18,33,14,33,33,6,15,13,A,0,45,,F,U,70000,37,0
1,00187678,5,4,9,3,7,7,5.5,5.22,5.67,21,44,6,14,19,2,6,8,E,1,18,,F,U,62500,28,0
1,00006789,10,1,20,1,8,25,36,26.95,36,18,105,21,39,101,6,17,30,A,1,53,80,M,U,51500,37,44947
0,00190212,,2,5,0,2,15,12,9.2,,18,57,4,12,19,2,2,10,E,0,12,,M,U,43200,52,0
0,00029903,,3,21,2,14,8,7.67,6.57,7.5,22,105,5,13,42,2,6,19,E,1,00,61,M,H,237700,31,86560
1,00127346,10,1,1,1,1,15,15,15,15,19,19,7,11,10,2,4,4,E,0,14,47,F,U,218900,26,0
0,00115374,,3,15,0,5,20,13.33,10.07,,18,98,13,34,74,6,6,32,S,1,49,67,U,U,93800,33,0
0,00083613,,2,2,1,1,13,16.5,16.5,20,16,17,12,17,15,6,9,7,N,0,05,67,F,H,79600,31,52981
0,00174124,,1,1,1,1,20,20,20,20,16,16,5,8,8,2,4,4,E,0,00,53,M,H,78100,8,40491
1,00005532,15,2,14,2,6,14,10,9.93,10,4,64,30,50,103,6,16,24,S,1,37,76,M,H,169000,50,83169
1,00189258,15,5,11,3,7,15,10.2,8.64,10.33,4,53,6,14,21,1,5,8,E,1,34,,F,U,135400,15,0
1,00027634,5,5,16,3,7,15,7.8,5.38,9.67,25,103,8,25,43,4,13,17,A,0,35,,M,U,123600,22,0
1,00190726,10,4,14,2,7,17,17,11.43,16.5,16,124,13,29,58,6,16,29,A,0,00,47,F,U,87500,44,40898
0,00118908,,3,5,3,4,15,16.33,15.8,16.33,9,41,23,39,44,9,16,17,F,0,25,50,M,U,192800,0,71033
0,00175262,,2,2,1,1,45,32.5,32.5,20,18,19,15,21,17,6,9,7,N,0,25,,F,U,103100,24,0
1,00031911,5,5,7,4,5,5,4.8,4.29,3.5,16,41,15,32,32,6,14,13,A,1,12,,F,U,80000,37,57800
0,00133244,,2,4,1,3,15,15,12.5,15,25,44,10,20,21,5,10,11,A,1,27,,M,H,81400,33,44194
0,00103130,,7,18,4,10,10,7,6.28,6.5,19,57,13,33,48,6,17,21,S,1,43,41,M,U,54900,27,45164
1,00034174,12,2,12,1,6,12,11,6.08,12,20,112,15,34,69,6,14,28,A,0,36,67,F,H,52900,35,53400
1,00015038,25,1,10,1,9,19,19,12.8,19,17,108,14,32,66,6,15,27,A,1,40,75,M,U,84900,21,59500
0,00186974,,1,3,1,1,10,25,13.67,25,7,21,16,23,21,5,8,7,N,0,40,,M,U,84900,21,0
0,00189536,,2,2,1,1,16,13,13,16,24,28,10,23,22,4,10,9,A,0,42,41,M,H,111700,42,59500
1,00015046,10,3,22,3,16,10,6.67,2.64,6.67,24,131,4,13,49,2,7,24,A,1,49,59,F,U,59500,23,0
1,00015066,10,4,24,2,10,11,10.25,8.96,10,19,111,13,33,73,6,17,31,S,1,51,51,F,U,44400,33,40000
1,00015086,10,6,22,3,9,25,15.17,14.18,13.33,16,99,14,36,76,6,17,28,S,1,49,,F,U,59500,23,0
0,00015163,,1,1,0,0,20,20,20,,20,20,11,18,16,4,4,6,F,0,51,31,F,H,45400,11,37236
1,00015219,25,1,1,1,1,25,25,25,25,21,21,10,17,15,4,7,6,N,0,40,,F,U,73000,36,50528
0,00015237,,2,2,0,0,20,20,20,,16,20,12,18,17,5,5,6,N,0,49,54,F,U,54300,25,43729
0,00015277,,2,16,2,12,15,15,11.31,15,19,122,13,33,76,6,16,33,A,1,43,47,F,H,50200,25,41094
1,00015332,10,2,13,1,6,11,10,6.54,11,17,77,13,32,56,6,15,22,S,1,24,80,M,U,72300,30,0
0,00015311,,1,1,1,1,25,25,25,25,21,21,11,18,16,5,8,7,F,0,22,51,M,H,107100,32,50832
1,00015349,30,1,1,0,0,20,20,20,,19,19,10,14,12,4,4,4,F,0,29,75,M,U,65100,30,0
1,00015350,15,2,2,1,1,20,17.5,17.5,15,18,23,12,24,21,6,12,10,N,0,22,70,F,U,107100,32,77654
1,00015384,15,2,2,1,1,15,10,10,5,18,29,10,23,21,4,9,8,A,0,28,59,F,H,45200,31,35302
1,00015445,20,1,13,0,6,20,20,10.23,,19,103,13,31,60,6,6,25,A,1,25,42,M,H,78200,25,58530
1,00185774,12,6,44,2,10,10,19,15.48,19,5,187,29,51,118,11,22,38,A,0,00,,F,H,65000,0,58530
1,00015416,30,1,1,1,1,20,20,20,20,24,24,8,18,16,3,7,6,N,0,25,47,M,H,85900,25,51013
0,00015573,,3,18,3,13,10,9,4.85,9,17,125,13,28,68,6,13,27,S,1,43,53,F,H,47100,24,43756
1,00015566,10,2,14,0,4,13,11,7.21,,21,86,12,30,59,5,5,23,A,1,49,,F,H,68300,31,43756
0,00015549,,2,3,1,1,20,16,14,20,24,44,11,28,33,6,13,13,A,0,44,65,F,U,68300,40,43756
1,00015651,10,4,14,2,7,10,8.5,6.93,9.5,23,127,12,32,68,6,15,29,A,0,24,42,F,H,149700,40,53466
0,00190355,,2,12,2,12,10,12.5,9,12.5,16,100,4,12,35,2,6,18,E,1,22,81,F,U,72800,8,0
0,00015659,,2,2,0,0,16,13,13,,16,20,12,18,17,5,5,6,N,0,30,38,F,H,45600,29,40262
1,00015668,45,1,3,0,2,20,20,9.33,,26,68,9,20,34,4,4,12,A,0,44,56,M,H,70700,27,40262
1,00015697,20,2,3,0,1,20,16,14,,19,44,14,31,35,6,6,13,A,0,43,,U,U,53500,37,43481
0,00015704,,3,3,2,2,15,10.33,10.33,8,18,32,12,28,25,6,13,11,A,0,40,51,F,H,66200,20,51338
1,00001799,10,8,21,6,12,9,7.25,9.24,7.67,4,75,25,46,88,11,21,32,A,1,27,,M,H,86000,35,51338
0,00015756,,4,9,1,2,5,6.25,5.78,5,18,52,12,32,40,6,15,16,A,0,41,69,F,H,46700,24,42855
1,00015772,10,5,18,3,13,8,7.6,5.67,6.67,16,130,11,30,70,6,16,30,S,1,32,,F,H,43900,43,28618
0,00045922,,1,3,0,1,15,15,10.33,,17,52,10,23,27,4,4,12,A,0,05,59,M,H,105500,43,45910
0,00015857,,1,5,1,2,15,15,12,15,21,64,10,26,44,4,10,15,A,0,40,50,F,H,76900,28,53804
0,00015874,,2,2,2,2,25,14,14,14,23,33,14,30,28,6,13,11,A,0,34,52,M,H,124400,27,78433
1,00015912,6,6,9,2,4,6,6.5,6.33,6.5,20,52,14,35,42,6,16,16,S,1,35,69,M,H,93000,31,59061
0,00015902,,2,2,0,0,20,15,15,,18,31,10,24,22,4,4,9,A,0,44,33,F,H,82200,31,59061
0,00015940,,4,15,3,10,5,5,5.33,5,17,105,12,27,62,4,11,22,S,1,41,73,M,U,86100,0,0
1,00015965,5,5,16,2,8,4,4.2,3.69,4.5,16,124,13,32,62,6,15,27,A,1,41,70,M,H,42900,23,37148
0,00015945,,2,2,2,2,20,20,20,20,23,29,10,20,19,4,9,8,A,0,36,67,M,H,40500,25,37148
1,00016014,10,2,13,1,6,20,17.5,10.54,15,26,116,10,32,62,5,16,30,A,1,40,,M,U,62800,26,48625
0,00015996,,2,4,1,3,15,12,9,15,24,56,10,28,39,5,12,14,A,0,43,,F,U,65100,24,48625
0,00016011,,1,18,0,10,20,20,10.06,,21,121,13,33,75,6,6,30,A,1,36,61,M,U,62500,29,48625
0,00015052,,2,2,1,1,25,20,20,15,15,29,12,26,23,5,11,10,A,0,40,,F,U,59500,30,0
0,00016049,,1,2,1,2,16,16,13,16,19,53,11,19,27,4,7,10,A,0,36,67,F,U,61700,27,0
1,00016099,12,4,4,1,1,10,5.5,5.5,5,20,32,13,26,25,6,11,9,A,0,43,70,F,H,66000,18,41736
1,00016102,15,1,1,1,1,15,15,15,15,19,19,10,16,14,4,7,6,F,0,40,41,F,H,74400,42,41736
0,00016136,,6,14,2,3,3,3.67,3.57,5,15,69,12,31,60,6,16,20,A,0,35,,F,U,56500,32,40898
0,00004132,,4,21,2,9,10,14.75,10.95,17.5,19,111,30,51,103,6,17,29,A,1,50,71,F,U,89400,24,40898
0,00016138,,5,18,2,8,15,15,12.61,15,17,75,13,35,64,6,17,24,S,1,40,41,M,H,67900,40,40898
1,00016175,30,1,1,1,1,25,25,25,25,24,24,6,16,14,2,6,5,N,0,50,69,F,U,44400,15,45566
0,00016215,,2,19,0,8,10,10,9.74,,26,92,10,32,59,5,5,24,A,1,40,71,M,H,76900,34,0
0,00016230,,3,3,1,1,25,21.67,21.67,25,24,30,12,27,24,6,13,11,A,0,47,,M,U,53100,28,39914
1,00016247,10,3,13,2,10,10,10,8.92,10,20,110,13,30,57,6,13,23,S,1,43,,U,U,57600,19,0
1,00015800,5,11,38,7,23,5,5.09,4.97,5.14,15,127,14,34,83,7,18,34,S,1,35,69,F,H,66900,40,42537
1,00016329,7,5,15,1,6,5,5.6,4.87,6,15,97,12,31,64,5,13,26,S,1,39,50,F,H,68300,25,49836
1,00016973,8,6,38,4,15,9,7.83,6.39,7.75,17,128,10,30,78,5,16,31,S,1,40,,F,U,102400,29,0
0,00016394,,1,20,0,11,15,15,10.7,,21,124,12,30,76,6,6,29,A,1,24,47,M,H,138100,20,49601
0,00016480,,4,18,1,10,15,15,9.11,15,24,123,11,33,70,6,17,32,A,1,32,65,F,H,45900,21,45037
0,00016450,,3,3,0,0,21,13.67,13.67,,15,32,12,25,25,5,5,9,A,0,32,73,M,U,50600,8,45037
1,00188284,5,3,20,1,10,10,5.67,5.1,5,6,121,19,37,79,7,14,29,S,1,22,59,F,H,298900,28,53517
1,00015648,20,3,22,2,14,16,14.67,8.95,15.5,22,130,13,35,73,6,17,33,A,1,28,,F,H,249000,22,73547
0,00015720,,3,5,2,4,15,13.33,10,12.5,26,45,10,29,37,5,15,15,A,1,44,29,F,H,126400,36,73547
0,00016532,,1,2,1,1,15,3,9,3,25,30,11,23,22,4,9,8,A,0,24,54,M,H,121400,24,73547
0,00016562,,4,7,2,4,9,7.75,6.29,8,16,45,15,34,37,6,15,15,A,1,15,60,F,H,95900,11,51354
1,00016643,12.5,3,3,1,1,15,13.67,13.67,16,18,27,12,26,23,6,13,11,N,0,24,83,F,H,89500,25,66208
1,00188246,10,4,20,3,11,10,11.25,7.85,10,18,109,6,14,43,2,6,19,E,1,24,,M,U,93700,44,0
0,00016662,,2,5,1,4,20,16,10.8,20,20,63,13,32,45,6,14,17,A,0,43,,U,U,57300,24,45926
0,00018300,,1,6,0,2,20,20,17.83,,18,110,13,32,62,6,6,26,A,0,35,43,M,H,101900,31,78801
0,00016688,,2,3,1,1,10,7.5,7,5,16,21,11,18,16,5,8,7,N,0,35,43,F,H,101800,28,67969
0,00016723,,3,3,2,2,20,14.33,14.33,16.5,16,29,8,23,24,4,12,10,A,0,22,,F,U,92500,14,38494
0,00016764,,1,8,0,2,15,25,14.88,,18,68,13,32,54,6,6,21,A,0,12,35,F,H,102800,26,82719
1,00016771,5,3,18,1,11,5,5,4.72,5,19,111,5,18,50,2,7,19,S,1,35,77,F,H,201800,32,82719
1,00016774,10,6,28,4,17,10,10.5,8.75,10.75,16,126,15,35,86,6,17,34,S,1,17,44,F,H,78600,18,82719
1,00016777,35,2,2,1,1,25,15,15,5,15,29,10,20,20,3,7,7,E,0,11,45,F,H,96400,29,0
1,00016813,10,4,5,2,2,6,6.75,6.6,6,15,24,13,22,21,5,9,8,N,1,24,72,M,U,124500,27,0
0,00024281,,2,10,1,5,15,15,9.6,15,18,120,14,33,62,6,15,25,A,1,38,,F,U,194700,28,78656
0,00016837,,1,17,0,8,15,15,9.59,,18,86,12,25,58,5,5,21,A,1,22,43,F,H,161000,20,78656
1,00188155,8,5,20,4,13,7,6.8,6.05,6.75,16,102,6,14,41,2,6,19,E,1,22,,U,U,161000,20,0
1,00190040,12,2,2,2,2,15,12.5,12.5,12.5,16,24,4,9,9,2,5,5,E,1,22,,M,U,161000,20,0
1,00016863,50,3,4,3,4,25,18.33,15,18.33,16,44,16,32,39,6,14,14,A,0,22,64,F,U,95100,10,73793
1,00016972,12,3,20,2,11,10,8.5,10.59,10,23,130,13,31,75,6,14,29,S,1,44,39,M,U,62100,23,56388
0,00016889,,2,7,1,3,15,12.5,12.14,10,19,76,14,28,50,6,12,18,A,0,49,34,F,U,73900,16,56388
0,00088361,,2,6,1,2,19,18,11,19,17,73,14,29,49,6,12,17,A,0,13,54,U,U,86000,29,0
0,00016946,,3,3,2,2,20,14,14,15,17,34,12,29,26,6,14,12,A,0,35,55,F,H,86000,29,60293
0,00017021,,1,1,1,1,15,15,15,15,16,16,11,16,13,4,6,5,F,0,40,37,M,U,86400,36,43934
1,00017089,5,5,7,3,4,5,6,6,6.67,19,52,12,31,38,6,14,16,S,1,44,,F,U,60900,12,43241
1,00017094,15,2,2,0,0,16,13,13,,18,28,10,23,21,4,4,9,A,0,35,57,F,H,89700,29,57017
1,00017102,7,5,13,1,4,6,6.8,5.69,7,22,56,12,34,46,6,17,20,S,1,39,,F,U,68500,24,0
0,00017117,,4,14,2,6,10,9.25,5.29,10,15,122,13,31,52,6,13,22,S,1,51,53,F,H,58000,33,42412
0,00017118,,1,1,0,0,15,15,15,,15,15,8,10,10,2,2,3,E,0,46,,M,U,67500,26,41189
1,00017145,20,1,1,1,1,20,20,20,20,16,16,12,17,14,5,7,6,F,0,50,,F,U,49700,24,40197
1,00017217,10,3,17,3,9,10,6.67,6.71,6.67,18,63,13,33,61,5,15,21,A,1,49,67,M,U,62100,19,40308
1,00016756,15,4,5,2,3,10,13,15.4,11,15,44,14,35,43,6,16,16,A,1,17,29,M,H,54200,32,43084
1,00024311,3,2,9,2,7,16,16.5,10.22,16.5,24,105,11,29,60,5,14,25,A,0,42,,F,U,87700,39,0
0,00017268,,3,23,1,10,10,10,6.09,10,24,130,12,33,74,6,16,32,S,1,50,46,M,H,45000,23,29767
0,00017283,,3,17,1,6,3,10,4.71,10,18,105,13,34,65,6,17,27,S,1,49,39,U,U,61700,24,0
0,00017279,,2,2,1,1,20,15,15,10,16,29,12,25,23,5,11,10,A,0,44,52,M,U,72800,30,51138
1,00017255,20,1,7,1,5,16,16,12.71,16,15,77,14,31,54,5,12,19,A,1,34,,F,U,73500,29,54339
0,00017333,,4,7,2,3,12,12,11.29,12,16,41,13,33,37,6,16,15,A,0,40,50,F,U,82800,21,53597
1,00017452,32,4,7,3,5,40,27.5,18.86,28.33,18,45,25,46,70,10,20,27,L,1,25,,F,U,83200,27,53597
1,00017378,15,1,4,1,3,20,20,11.25,20,17,53,14,31,38,6,14,15,A,0,34,31,F,H,106400,25,53635
0,00017517,,1,4,1,3,15,15,12.25,15,16,64,12,28,45,4,10,14,A,0,35,,F,U,87300,24,0
1,00017418,13,3,4,3,3,11,11,9.75,11,16,27,13,27,27,6,13,11,A,0,15,43,F,H,85300,14,65546
0,00017435,,1,1,1,1,25,25,25,25,16,16,12,16,13,5,7,6,F,0,25,38,M,H,92700,7,73864
0,00017511,,1,2,1,1,20,20,17.5,20,27,33,10,25,25,4,10,10,A,0,35,33,M,H,86800,22,40491
0,00017590,,1,11,1,8,30,30,19.55,30,20,105,14,29,71,6,13,26,A,1,35,49,F,H,167600,24,86922
0,00017608,,4,16,3,10,12,11.5,8.13,11.33,22,119,13,35,72,6,17,32,S,1,35,58,F,H,188500,32,108658
1,00005331,14,9,22,7,11,15,13.33,11.55,13,4,112,30,50,102,11,22,41,S,1,24,,U,U,161800,30,84071
0,00017636,,2,6,1,4,20,20,16.67,20,18,74,13,33,53,6,16,22,A,0,22,,M,H,107700,27,84071
0,00017363,,2,2,1,1,15,15,15,15,20,29,10,23,21,4,10,9,A,0,17,32,M,U,80100,30,55991
0,00017367,,6,7,5,5,7,9.33,8.43,9.8,19,35,12,31,31,6,16,14,S,1,40,31,M,H,91200,24,55991
0,00017578,,4,4,4,4,10,10,10,10,20,33,13,31,31,6,14,12,A,1,35,31,F,H,127400,24,0
0,00017664,,1,1,0,0,20,20,20,,15,15,8,10,10,3,3,4,E,0,32,59,F,H,57400,30,25742
1,00017714,26,2,7,1,4,21,21,12.43,21,17,87,15,33,59,6,14,23,A,1,11,66,F,H,77000,30,43231
0,00188727,,3,11,2,4,10,15,11.91,15.5,5,69,12,34,53,6,17,21,A,1,32,67,F,U,56700,28,43231
1,00186462,8,3,28,2,17,10,5,4.29,5,4,129,19,37,82,6,14,31,S,1,40,81,F,H,65400,23,43231
0,00014124,,1,22,1,5,15,15,11.95,15,4,147,18,35,85,7,14,30,A,0,24,75,M,U,134800,27,57000
0,00005960,,2,12,2,7,20,18,12.83,18,17,101,20,39,90,6,16,25,A,1,23,46,M,H,150400,57,57000
1,00017791,25,2,4,2,3,25,25,25,25,18,44,13,34,38,6,17,17,A,0,24,58,F,H,96900,18,50858
1,00017772,10,2,2,1,1,5,10,10,15,20,21,11,18,16,4,7,6,N,0,24,87,F,H,260200,43,50858
0,00017782,,3,5,2,2,15,13.33,10.8,12.5,18,33,12,30,30,6,15,13,A,0,15,40,F,U,94000,15,0
0,00017820,,2,29,2,10,10,10,9.17,10,22,128,13,35,80,6,17,34,S,1,14,,F,U,111600,26,0
0,00017833,,2,2,0,0,15,12.5,12.5,,18,28,12,26,23,5,5,10,A,0,12,70,F,H,98800,37,72359
0,00017872,,4,15,2,9,25,14.25,15.4,10,15,130,13,34,73,6,16,31,S,1,34,79,F,H,90900,31,67280
0,00016733,,4,20,1,11,20,20,16.7,20,17,126,15,36,75,6,17,30,S,1,22,,U,H,121900,18,67280
0,00017898,,3,4,1,1,4,6.33,5.5,5,16,24,13,24,21,6,11,9,N,0,32,59,F,H,56900,18,32482
0,00017881,,4,4,1,1,14,9.25,9.25,11,19,31,13,27,24,6,12,10,A,1,32,41,F,H,48000,26,32482
1,00017921,8,5,7,3,4,9,8.2,7.29,8.33,16,41,13,33,34,6,15,15,A,0,28,69,F,H,73200,41,49658
0,00017961,,2,15,0,9,10,12,8.8,,16,126,12,32,74,5,5,32,A,1,47,,F,U,45100,19,36806
0,00018055,,3,6,1,3,20,15,9.5,10,27,65,11,30,43,5,14,17,A,0,47,,M,U,53600,25,41021
0,00188333,,0,9,0,4,25,0,16,,6,85,23,23,68,8,8,27,A,1,50,73,U,U,43700,30,0
0,00017988,,3,15,2,9,20,25.67,19.73,25,18,117,13,30,71,5,14,29,S,1,50,,M,H,39600,21,28519
0,00018019,,1,1,1,1,20,20,20,20,25,25,7,17,15,3,7,6,N,0,39,29,M,H,58700,24,43818
1,00018038,16,2,8,2,7,16,15.5,12.38,15.5,25,77,11,32,60,6,17,22,A,1,47,,U,U,54800,30,0
0,00018067,,2,9,0,6,15,13.5,8,,19,130,12,26,61,5,5,24,A,1,47,67,F,H,62500,27,44461
1,00018104,12,3,11,1,8,13,12.33,10.55,13,16,123,13,30,67,6,13,29,S,1,22,43,M,U,91500,18,59375
1,00018089,25,5,9,5,8,17,16.6,13.78,16.6,21,76,14,32,55,6,16,22,A,1,22,47,M,H,99400,19,59375
0,00018091,,3,9,1,6,25,21.67,15.78,20,27,81,11,32,58,5,16,23,A,1,22,61,M,H,81000,34,59375
0,00018115,,1,7,0,5,25,25,18.14,,18,104,15,29,62,6,6,25,A,1,47,56,F,H,59600,15,42313
0,00017023,,1,1,1,1,23,23,23,23,17,17,11,16,14,5,7,6,F,0,40,25,F,H,71700,36,42313
0,00018126,,5,8,4,7,10,11.2,9.63,11.5,20,53,13,32,43,6,16,18,S,1,44,,F,U,73300,19,0
1,00018196,12,6,43,2,17,13,11.33,7.47,10,15,127,12,34,80,5,16,32,S,1,36,,M,U,46900,28,40493
0,00018182,,2,2,2,2,20,17.5,17.5,17.5,21,36,10,28,28,4,12,11,A,0,36,,F,U,46900,28,40493
0,00018207,,2,2,1,1,15,12.5,12.5,10,17,29,11,24,22,4,10,9,A,0,36,,F,U,58200,37,37509
1,00013782,10,2,23,1,14,10,15,18.04,20,6,130,25,45,98,5,14,33,A,1,00,83,F,H,48500,0,37127
0,00018229,,2,13,0,8,50,50,21.15,,18,119,13,35,76,6,6,34,A,1,34,52,F,U,74200,26,0
1,00018266,5,9,28,7,19,5,5,5,5,17,92,13,30,62,6,17,27,S,1,30,72,M,H,48700,27,33629
1,00018257,5,4,9,4,6,1,4.75,4,4.75,15,44,16,33,37,6,14,14,A,1,38,,M,H,48700,27,33629
0,00018262,,11,18,7,10,8,6.55,6.11,6.29,18,55,14,35,47,6,17,19,S,1,24,63,M,U,79000,37,33629
0,00018283,,4,9,2,3,12,10.25,8.78,9.5,16,103,9,28,46,4,13,17,A,0,31,,M,U,32200,0,0
1,00018322,10,4,8,3,6,11,9.5,7.38,9.67,17,56,13,31,41,6,14,17,S,1,42,73,M,H,80700,32,36402
0,00018341,,2,9,2,5,20,14.5,8.22,14.5,21,85,12,31,41,6,15,18,A,1,47,59,F,H,46900,25,32201
1,00018339,10,3,3,1,1,10,10,10,5,18,32,12,26,24,6,12,10,A,0,47,49,M,U,46900,25,32201
0,00018351,,1,5,0,3,16,16,12.4,,24,79,9,24,47,4,4,17,A,1,47,40,F,U,47300,24,45078
1,00018359,10,4,18,0,8,10,8.25,6.44,,15,130,14,34,75,6,6,31,S,1,50,,F,U,41200,14,27259
1,00187959,10,4,34,3,20,11,9.5,7.5,9.33,19,80,7,15,34,2,6,14,E,1,40,,U,U,102400,32,0
0,00018428,,6,14,2,5,5,7.83,7.29,10,19,52,15,37,45,6,17,18,S,1,40,70,F,H,86700,28,46776
1,00018425,7,3,4,3,3,8,6,7,6,16,29,12,25,24,6,12,10,A,1,40,,F,U,87000,30,46776
1,00018438,5,7,17,3,10,5,5,4.18,5,16,113,13,33,66,6,17,28,S,1,46,69,M,H,120500,46,60885
0,00018454,,4,16,1,10,11,11.5,7.69,10,15,128,14,32,71,6,14,32,S,1,46,,M,U,77300,32,40556
1,00018466,6,4,14,3,7,5,5,3.93,5,15,68,11,26,46,5,12,18,S,1,47,39,F,H,59400,30,44250
0,00018471,,4,14,3,7,18,13.25,7.29,12.33,21,68,12,33,55,6,17,23,S,1,40,39,M,U,86700,30,0
0,00018498,,3,4,3,3,20,11,9,11,16,29,13,26,26,6,12,10,A,1,41,71,F,U,44200,32,0
1,00018508,6,4,6,1,1,10,6.25,6.67,5,18,40,13,33,35,6,15,14,A,1,36,,F,U,63500,26,50251
1,00018543,14,5,11,4,6,14,11.6,9.09,11.5,17,87,14,35,57,6,17,23,S,1,36,37,F,U,50600,36,45282
1,00018534,15,1,1,0,0,25,25,25,,16,16,13,18,15,6,6,7,F,0,36,46,F,U,57600,27,0
0,00018559,,2,14,1,8,8,9,6.29,11,18,112,14,30,68,6,12,24,S,1,36,,M,U,57200,35,41063
1,00019789,10,2,3,0,0,10,10,10,,19,24,14,26,25,6,6,9,N,0,40,53,M,U,35500,35,50628
1,00018581,12,1,16,0,10,12,12,4.63,,18,124,11,26,58,4,4,25,A,1,44,53,F,H,77500,24,50628
0,00018585,,3,19,1,13,27,25.67,10.37,25,18,130,14,35,79,6,16,32,S,1,41,45,F,U,68900,33,50628
1,00018584,12,1,10,1,6,14,14,10.6,14,21,130,14,33,68,5,13,28,A,0,27,75,F,H,67100,49,50628
0,00018610,,4,20,3,10,10,6.5,6.45,7,17,123,14,36,75,6,17,32,S,1,40,69,F,H,79700,30,55991
0,00018611,,6,28,4,20,5,5,4.36,5,23,127,12,33,74,6,16,31,S,1,41,62,F,U,39700,32,55991
1,00018607,23,1,13,0,8,17,17,7.77,,26,125,9,28,67,4,4,27,A,1,40,37,M,H,79700,30,55991
1,00018609,10,1,8,1,6,20,20,14,20,23,128,10,27,62,4,11,26,A,0,35,48,F,H,120800,30,55991
1,00019623,14,5,15,5,10,10,8.2,6.53,8.2,18,62,14,36,52,6,17,21,S,1,34,35,F,U,107000,32,0
1,00018802,20,2,6,1,4,20,20,14.5,20,16,87,13,34,60,6,16,23,A,0,40,46,M,H,112800,32,92715
0,00018640,,3,4,1,1,15,11.67,11.25,15,19,28,12,26,24,6,13,11,A,0,34,49,F,H,130700,36,61112
0,00018657,,3,20,2,12,13,12.67,8.4,12.5,16,112,12,32,76,5,15,29,A,1,43,51,F,H,43300,26,38681
1,00018664,15,1,1,1,1,20,20,20,20,17,17,10,15,13,4,6,5,F,0,36,59,M,H,51900,24,36337
0,00018676,,3,19,3,18,10,10,9.26,10,21,130,8,22,68,4,11,27,S,1,36,53,M,H,76100,25,36337
1,00018694,5,1,7,0,2,15,15,6.14,,26,81,9,26,48,4,4,19,A,0,30,68,M,H,32000,34,36344
0,00018700,,3,14,1,7,10,10.67,10.5,12,18,130,13,31,71,4,13,28,A,1,32,68,M,U,49900,30,0
0,00018732,,4,13,1,8,7,5.5,4.23,7,17,125,10,27,56,4,11,23,S,1,23,48,M,H,86700,41,46557
